meanX,sdX,rangeX,meanY,sdY,rangeY,meanZ,sdZ,rangeZ,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.8465,0.2333,0.8301,-0.1179,0.0217,0.0732,-0.3720,0.1637,0.5735,15.8529,18.4757,51.5137,-193.7663,146.6014,396.3013,13.2365,10.1107,31.6772,left,11611553
0.7905,0.1798,0.6783,-0.0927,0.0243,0.0931,-0.4623,0.1119,0.3641,19.4214,22.0805,60.6079,-158.1217,144.4148,389.8315,2.2380,4.8787,17.2729,left,11611553
0.8469,0.2083,0.7576,-0.1672,0.0379,0.1382,-0.3206,0.1394,0.4473,15.8122,24.1670,65.7959,-203.4627,179.6865,452.5146,3.7313,6.5934,20.5078,left,11611553
0.8082,0.1904,0.7063,-0.2458,0.0244,0.0949,-0.4013,0.0949,0.3062,-2.9175,15.6192,43.6401,-207.4748,173.1218,514.8926,6.2907,5.9307,25.6958,left,11611553
0.7911,0.2199,0.8244,-0.3306,0.0331,0.1039,-0.4601,0.1106,0.3422,1.7863,11.9055,40.0391,-202.1322,200.7670,537.4146,6.4494,5.7833,19.1040,left,11611553
0.7548,0.1526,0.5841,-0.2815,0.0162,0.0544,-0.4656,0.1300,0.4067,1.2207,21.1989,67.2607,-198.9217,200.1472,531.9824,3.6947,4.8194,16.4795,left,11611553
0.8205,0.1909,0.6765,-0.2762,0.0230,0.0820,-0.4010,0.1323,0.4995,-3.0436,18.1273,55.7251,-196.5820,194.6786,529.3579,-5.7983,8.4267,25.8179,left,11611553
0.7322,0.2273,0.7631,-0.2732,0.0149,0.0409,-0.3784,0.1283,0.4283,5.7983,13.7334,47.4854,-215.1449,162.5398,415.1001,-3.6947,12.4376,39.9780,left,11611553
0.7141,0.1950,0.6769,-0.2410,0.0237,0.0945,-0.5625,0.1037,0.3041,-2.2461,20.2776,65.8569,-190.3809,183.2139,489.2578,-10.4858,6.1426,20.6909,left,11611553
0.7180,0.1554,0.5906,-0.3182,0.0120,0.0392,-0.5729,0.0987,0.3068,-6.0221,18.8462,66.3452,-184.3587,174.2322,489.6240,5.8797,7.4679,27.7710,left,11611553
0.7245,0.1849,0.6985,-0.2096,0.0240,0.0817,-0.4988,0.1129,0.3981,14.5793,16.3300,57.6782,-193.3105,202.6373,559.0820,-14.9373,20.8473,60.7910,left,11611553
0.7381,0.1736,0.6304,-0.2016,0.0491,0.1478,-0.5121,0.0735,0.2747,6.2174,18.0179,56.7627,-175.7650,173.3199,501.1597,4.9927,8.6445,31.7993,left,11611553
0.7342,0.1499,0.5619,-0.2204,0.0124,0.0461,-0.5805,0.1057,0.3770,9.0454,7.9147,25.5737,-137.3047,187.2994,486.3892,-7.4422,9.1229,28.9307,left,11611553
0.7271,0.1380,0.5312,-0.2229,0.0174,0.0652,-0.6639,0.0664,0.2300,10.8846,12.9742,40.8936,-140.6047,131.0831,364.8071,-0.6551,7.1362,23.9258,left,11611553
0.8896,0.1963,0.7880,-0.1045,0.0439,0.1599,-0.0838,0.2165,0.8689,-21.5413,19.1417,49.6826,-203.0029,205.3687,514.9536,3.0355,6.0324,21.9116,up,11611553
0.6145,0.1912,0.5662,0.2206,0.0405,0.1219,-0.0709,0.1211,0.4279,6.9397,9.3870,36.6821,-240.9851,253.7267,646.4233,45.6970,17.3501,52.6733,up,11611553
0.6595,0.2450,0.8918,0.2142,0.0536,0.2022,-0.1777,0.2036,0.8315,6.0425,9.1863,36.9263,-181.4982,233.8967,630.3711,15.8447,15.5723,54.1382,up,11611553
0.6283,0.2139,0.8050,0.2114,0.0258,0.0825,-0.2754,0.1770,0.7307,2.3682,7.3096,26.0620,-186.1857,219.4561,590.5762,7.5236,5.6097,16.4185,up,11611553
0.7934,0.1781,0.7803,0.2478,0.0299,0.0908,-0.2878,0.1238,0.5486,-0.1872,14.7285,40.5273,-165.7389,239.5129,641.2354,9.1960,13.7451,39.3677,up,11611553
0.8107,0.2388,0.8072,0.2772,0.0169,0.0577,-0.1756,0.2096,0.7094,-7.6904,8.9441,23.0103,-335.0601,272.0051,672.3022,16.8304,12.7356,33.9966,up,11611553
0.7940,0.2276,0.7559,0.2723,0.0317,0.1094,-0.2212,0.1581,0.6500,-0.9813,9.2447,33.9966,-195.9369,258.7049,682.5562,16.5171,12.0420,36.4380,up,11611553
0.6714,0.2419,0.8004,0.2050,0.0540,0.1937,-0.1195,0.1150,0.4465,-10.3353,16.5471,74.2798,-169.5557,238.8883,696.5332,-4.5166,8.6725,28.9307,up,11611553
0.7273,0.3125,0.9801,0.1435,0.0439,0.1518,-0.2112,0.1279,0.5270,-10.4126,7.6984,33.8135,-207.7922,281.0923,784.3628,8.7769,18.2531,53.7720,up,11611553
0.7668,0.1978,0.7984,0.1730,0.0487,0.1606,-0.2027,0.1474,0.5676,-8.6344,11.2229,40.7715,-222.9614,239.6578,624.7559,6.6243,10.9678,34.6680,up,11611553
0.9340,0.1710,0.7141,0.0213,0.0172,0.0755,-0.2336,0.1060,0.3688,-14.0828,23.2995,64.7583,-170.5688,242.4491,704.1626,0.3825,5.5380,17.8833,up,11611553
0.7978,0.2048,0.8000,0.0960,0.0298,0.1105,-0.4826,0.1346,0.4863,-11.4421,12.1718,41.6260,-163.1266,202.7448,512.4512,-0.6063,4.6091,13.4888,up,11611553
0.8145,0.1975,0.7299,0.0477,0.0183,0.0607,-0.3414,0.1418,0.5056,-10.5387,9.9550,28.9307,-185.3678,173.2266,441.2231,1.6764,6.8656,21.7285,up,11611553
0.8274,0.1661,0.6472,0.0572,0.0409,0.1191,-0.3396,0.1257,0.5251,-9.9487,8.2091,29.7241,-168.6849,164.9925,469.7876,6.3314,8.8450,28.5034,up,11611553
0.7805,0.1431,0.5707,0.1301,0.0353,0.0952,-0.1453,0.1196,0.4877,-9.9976,15.4437,47.1802,-178.7842,205.8107,560.1807,-12.6465,7.5800,23.0103,up,11611553
0.8275,0.1536,0.6387,0.1185,0.0184,0.0720,-0.1921,0.1145,0.5015,-11.8449,16.8134,51.6968,-196.3989,240.0837,652.7100,-6.8481,6.4758,23.4985,up,11611553
0.7985,0.1915,0.8162,0.1699,0.0267,0.0938,-0.1977,0.1812,0.7988,-7.6457,17.1597,72.4487,-197.1842,248.0033,650.4517,-2.0182,7.5787,21.5454,up,11611553
0.7409,0.1822,0.7460,0.1437,0.0312,0.1024,-0.2431,0.1279,0.5551,-9.6965,12.3764,38.6963,-200.5615,236.3316,633.7280,-8.2723,6.3203,24.2920,up,11611553
0.7652,0.1639,0.5605,0.0740,0.0242,0.0826,-0.1917,0.1120,0.3809,-10.1741,12.9705,38.2080,-221.4590,257.8624,697.3267,2.3381,5.6292,20.4468,up,11611553
0.7567,0.1211,0.4585,0.0821,0.0432,0.1403,-0.2300,0.0734,0.2853,-4.5682,4.4116,16.9067,-228.0837,213.4454,629.9438,8.7233,13.8793,43.3960,up,11611553
0.7222,0.1960,0.6225,0.1021,0.0192,0.0626,-0.1218,0.1566,0.5014,-15.7471,15.6544,41.6260,-441.5894,259.2980,693.8477,9.3209,4.0904,13.4277,up,11611553
0.7401,0.1565,0.5162,0.1069,0.0169,0.0567,-0.2703,0.0681,0.2776,-10.7657,12.6590,34.9121,-197.7915,191.3974,540.9546,6.8782,7.6147,24.7803,up,11611553
0.6858,0.1861,0.5784,0.1672,0.0206,0.0652,-0.2806,0.1285,0.4338,-15.4165,10.6675,29.8462,-255.3508,188.0769,508.9722,2.5330,4.5909,15.7471,up,11611553
1.1520,0.2184,0.8400,-0.3140,0.0242,0.0983,-0.3115,0.1351,0.4437,-8.7362,20.5641,57.3120,-111.0596,194.4240,637.0239,-7.9671,6.9771,27.7100,down,11611553
1.0691,0.2952,1.1773,-0.3472,0.0316,0.1335,-0.3546,0.1052,0.3175,-9.3547,12.4529,39.0625,-135.0586,184.4198,555.1147,1.2044,10.0333,31.0669,down,11611553
1.1306,0.2553,1.0792,-0.3570,0.0510,0.1976,-0.1968,0.1530,0.4849,-14.1805,21.4212,58.8379,-149.8454,238.4700,769.3481,-7.0516,10.6173,42.1143,down,11611553
0.9043,0.2319,0.8190,-0.2947,0.0199,0.0722,-0.2819,0.1431,0.5254,-0.5208,7.0481,22.5220,-152.3519,156.5051,400.5737,8.2235,12.7180,34.7290,down,11611553
0.6467,0.2857,0.7945,0.1375,0.0748,0.2093,-0.0879,0.2259,0.7632,-3.9591,7.1836,28.7476,-124.0885,162.3484,544.3115,4.8503,7.9030,27.5879,down,11611553
1.0775,0.2881,1.1896,-0.2230,0.0254,0.0783,-0.3140,0.0782,0.2687,-7.4707,12.8276,38.6353,-133.4554,154.4299,482.1167,11.0636,12.1598,38.8794,down,11611553
0.9135,0.1766,0.7852,-0.2414,0.0240,0.0997,-0.4354,0.0674,0.2927,-5.7739,10.6027,31.6162,-138.8468,163.2939,473.5107,1.4404,12.7930,48.0957,down,11611553
0.6786,0.1489,0.5794,0.1416,0.1013,0.2996,-0.2460,0.0896,0.3075,7.4422,3.7855,15.4419,-6.5104,18.0010,66.5894,4.1626,11.0260,39.6118,down,11611553
0.4916,0.1463,0.3583,-0.1972,0.0021,0.0052,-0.6712,0.0868,0.2125,10.0911,4.0253,9.8267,-415.4460,14.2019,30.9448,35.9904,3.7401,8.7280,down,11611553
0.9657,0.2165,0.9557,-0.2475,0.0216,0.0779,-0.4227,0.0993,0.3427,-6.2988,11.1691,31.0669,-132.1126,184.1901,555.4199,2.1810,11.5820,52.6123,down,11611553
0.8782,0.2456,0.9192,-0.2436,0.0224,0.0793,-0.5620,0.0595,0.2164,-5.9896,6.4678,23.4375,-164.1357,147.6893,437.3779,8.3089,12.6130,43.2129,down,11611553
1.0874,0.4220,1.3831,-0.2333,0.0200,0.0673,-0.5491,0.1292,0.4708,-1.2899,12.5571,41.0767,-165.8732,169.4479,459.6558,14.0584,14.3203,52.1851,down,11611553
1.0693,0.4114,1.3277,-0.2001,0.0279,0.0967,-0.6115,0.0992,0.3003,2.0182,15.1757,50.7202,-170.0887,176.6903,481.1401,9.7412,19.2309,59.5093,down,11611553
0.8500,0.2041,0.8072,-0.2233,0.0204,0.0693,-0.4601,0.1033,0.3828,-6.6081,5.8067,20.1416,-154.6753,152.7571,423.6450,6.6040,12.5943,36.6211,down,11611553
0.9056,0.2321,0.8379,-0.2448,0.0416,0.1409,-0.4475,0.0741,0.2664,-5.3426,9.2162,28.6255,-151.9816,171.3760,466.4917,8.7728,15.8084,50.3540,down,11611553
0.7754,0.2242,0.7427,-0.2488,0.0312,0.1002,-0.4887,0.1242,0.3656,-9.4198,7.4024,24.4141,-164.7827,157.4281,407.5317,2.0793,11.0375,31.0669,down,11611553
0.9875,0.3236,1.0933,-0.2570,0.0244,0.0815,-0.7799,0.1035,0.2903,-0.1383,22.8430,68.1763,-123.4090,135.1587,375.8545,11.6455,19.5673,62.1338,down,11611553
1.0761,0.3582,1.2867,-0.2645,0.0675,0.2220,-0.6444,0.1751,0.5732,11.4583,25.7512,80.5054,-131.5877,166.1931,489.0137,24.0560,36.1691,97.5952,down,11611553
1.0798,0.3739,1.2640,-0.1809,0.0595,0.1807,-0.5202,0.1096,0.3521,-7.0516,18.4892,68.8477,-172.2778,194.5757,569.7632,2.4658,14.8991,54.5044,down,11611553
1.1403,0.3415,1.1251,-0.1761,0.0334,0.1212,-0.2949,0.0996,0.3732,2.3031,12.4438,48.5229,-164.2375,174.6318,488.5254,12.7319,14.9154,53.0396,down,11611553
0.9665,0.1503,0.7012,-0.2974,0.0243,0.1183,-0.2686,0.0605,0.1910,-15.0309,23.1343,70.9229,-140.0391,194.5369,564.0869,2.2583,8.7488,29.6631,down,11611553
0.8883,0.1374,0.5913,-0.2991,0.0409,0.1631,-0.4077,0.0297,0.1201,-11.5234,15.6318,54.6875,-162.0565,185.5707,590.8813,5.1310,16.9599,61.2183,down,11611553
0.8828,0.2607,0.9371,-0.2887,0.0332,0.1325,-0.1239,0.1911,0.7314,-14.3392,15.1623,45.3491,-218.0094,218.3481,561.0352,3.2756,5.8434,14.8926,push,11611553
0.8483,0.1977,0.7361,-0.3013,0.0718,0.2345,-0.2898,0.1202,0.5048,-7.4748,12.2264,37.2925,-183.6711,196.9443,520.9961,-1.8433,4.7073,17.7002,push,11611553
0.8705,0.1695,0.6628,-0.3177,0.0781,0.2863,-0.2263,0.0966,0.3889,-2.0467,5.6866,20.9961,-191.4103,164.1597,494.4458,8.3577,12.5629,38.3301,push,11611553
0.9137,0.1521,0.7157,-0.3112,0.0344,0.1191,-0.2450,0.0997,0.3110,-8.3089,15.1427,41.9922,-159.0576,205.5859,646.0571,6.4738,11.3037,35.3394,push,11611553
0.8938,0.1539,0.6027,-0.2769,0.0879,0.2622,-0.3036,0.0569,0.2565,-6.0262,9.7844,26.9165,-171.3623,177.9197,541.9312,0.5615,9.5415,29.7241,push,11611553
0.8130,0.2380,0.8707,-0.2709,0.0307,0.1014,-0.3936,0.1193,0.4026,2.7669,13.7885,53.8940,-204.8462,175.5314,474.5483,6.7668,6.7173,27.2827,push,11611553
0.8577,0.2582,0.8723,-0.2079,0.0643,0.2073,-0.3620,0.1597,0.4816,-5.3792,10.5602,40.4053,-181.7790,171.0087,424.8657,8.0851,6.9418,24.8413,push,11611553
0.9277,0.1878,0.7175,-0.2507,0.0547,0.2047,-0.2355,0.1316,0.5594,-7.2469,12.5850,38.2690,-159.9324,183.5612,499.4507,3.9958,9.4012,34.4849,push,11611553
0.8046,0.2102,0.8728,-0.3175,0.0995,0.3589,-0.4133,0.0977,0.4324,-15.1693,10.3490,31.3110,-155.0578,206.9802,567.1387,-5.2734,8.2536,31.2500,push,11611553
0.8792,0.1623,0.6584,-0.2108,0.0378,0.1387,-0.3044,0.1887,0.7770,2.7018,2.9863,11.8408,-140.4419,129.9492,361.4502,-3.0518,12.0768,42.1753,push,11611553
0.7951,0.2712,0.8218,-0.0745,0.0159,0.0520,-0.4537,0.2402,0.7496,3.8005,6.2381,22.7661,-172.2412,116.0090,290.2832,-9.5256,11.8788,32.1655,push,11611553
0.9147,0.1853,0.7618,-0.1339,0.0250,0.0908,-0.2959,0.1544,0.5966,9.0658,14.6643,43.2739,-162.9395,172.0157,449.1577,-7.8817,14.2688,48.0957,push,11611553
0.8965,0.2454,0.9001,-0.1490,0.0113,0.0342,-0.2883,0.2043,0.7610,4.9601,9.3394,31.4331,-175.2197,168.5337,440.0024,-7.9508,11.7409,32.0435,push,11611553
0.9000,0.2182,0.7997,-0.1429,0.0136,0.0596,-0.2484,0.2112,0.7380,4.3864,7.6170,26.3672,-182.8166,145.6173,392.2729,-7.7759,9.3597,27.8931,push,11611553
0.8067,0.2105,0.7778,-0.1363,0.0619,0.1985,-0.5161,0.1625,0.6569,-0.8586,4.5429,13.1226,-138.9119,125.9203,331.8481,-4.4189,7.5389,24.7803,push,11611553
0.8935,0.2192,0.7831,-0.1593,0.0628,0.2402,-0.2773,0.2489,0.8698,-3.7516,9.7960,33.0811,-168.5425,148.3046,374.6948,-14.1113,10.6409,36.2549,push,11611553
0.8006,0.2679,0.8606,-0.1171,0.0120,0.0402,-0.4361,0.2559,0.7585,3.7557,5.2901,15.0146,-182.8491,101.2557,278.2593,-5.5705,4.5409,14.4653,push,11611553
0.8137,0.2841,0.8811,-0.0686,0.0790,0.2518,-0.3780,0.3383,0.9850,-12.5285,15.6008,62.3779,-193.2129,119.5039,316.1621,-17.0085,12.9731,36.3770,push,11611553
0.8605,0.2724,0.8901,-0.0998,0.0233,0.0936,-0.3111,0.2901,0.8895,-0.5330,3.4947,11.9629,-192.3136,128.2076,334.6558,-13.1836,10.7768,32.1045,push,11611553
0.6848,0.2904,0.8478,-0.0324,0.0675,0.1860,-0.5772,0.2932,0.7975,-1.5951,19.3872,60.3638,-220.4386,74.4995,235.0464,-13.0615,7.6527,23.6816,push,11611553
0.8157,0.2604,0.8611,-0.1423,0.0182,0.0634,-0.3827,0.2337,0.7656,5.6803,6.2145,18.0054,-195.7275,131.8159,350.5859,-12.7930,9.4841,24.2920,push,11611553
0.9151,0.2163,0.8563,-0.1807,0.0235,0.0724,-0.2492,0.1923,0.7881,0.6836,6.9102,24.1699,-164.0950,164.7429,429.9316,-17.8630,18.9326,56.9458,push,11611553
