meanX,sdX,rangeX,meanY,sdY,rangeY,meanZ,sdZ,rangeZ,wristArmed,label,studentId
0.4210,0.0033,0.0109,0.3234,0.0043,0.0156,0.8495,0.0042,0.0154,1,still,11611553
0.4218,0.0026,0.0101,0.3233,0.0032,0.0115,0.8494,0.0041,0.0154,1,still,11611553
0.4223,0.0029,0.0105,0.3249,0.0042,0.0142,0.8470,0.0043,0.0148,1,still,11611553
0.4242,0.0024,0.0109,0.3273,0.0042,0.0166,0.8459,0.0048,0.0148,1,still,11611553
0.4277,0.0055,0.0202,0.3309,0.0048,0.0213,0.8402,0.0078,0.0284,1,still,11611553
0.4356,0.0121,0.0397,0.3389,0.0115,0.0370,0.8347,0.0080,0.0238,1,still,11611553
0.4446,0.0149,0.0431,0.3474,0.0146,0.0388,0.8273,0.0105,0.0341,1,still,11611553
0.4551,0.0136,0.0484,0.3581,0.0149,0.0549,0.8164,0.0134,0.0454,1,still,11611553
0.4683,0.0142,0.0468,0.3707,0.0123,0.0388,0.8079,0.0133,0.0378,1,still,11611553
0.4779,0.0142,0.0416,0.3778,0.0104,0.0273,0.7993,0.0090,0.0326,1,still,11611553
0.4865,0.0122,0.0425,0.3850,0.0091,0.0388,0.7908,0.0076,0.0281,1,still,11611553
0.4936,0.0042,0.0153,0.3919,0.0067,0.0190,0.7846,0.0096,0.0262,1,still,11611553
0.4960,0.0027,0.0092,0.3940,0.0060,0.0190,0.7805,0.0077,0.0258,1,still,11611553
0.4981,0.0022,0.0075,0.3965,0.0038,0.0151,0.7764,0.0033,0.0107,1,still,11611553
0.4991,0.0021,0.0072,0.3970,0.0027,0.0087,0.7757,0.0026,0.0090,1,still,11611553
0.4996,0.0015,0.0044,0.3957,0.0005,0.0018,0.7769,0.0017,0.0067,1,still,11611553
0.4990,0.0023,0.0072,0.3951,0.0013,0.0042,0.7764,0.0009,0.0035,1,still,11611553
0.4973,0.0024,0.0081,0.3944,0.0015,0.0039,0.7769,0.0009,0.0039,1,still,11611553
0.4959,0.0017,0.0053,0.3939,0.0012,0.0039,0.7778,0.0014,0.0046,1,still,11611553
0.4945,0.0012,0.0047,0.3930,0.0008,0.0026,0.7783,0.0015,0.0046,1,still,11611553
0.4939,0.0009,0.0033,0.3928,0.0008,0.0023,0.7792,0.0010,0.0033,1,still,11611553
0.4935,0.0008,0.0028,0.3927,0.0007,0.0023,0.7799,0.0007,0.0023,1,still,11611553
0.4932,0.0006,0.0022,0.3925,0.0005,0.0017,0.7799,0.0007,0.0023,1,still,11611553
0.4930,0.0006,0.0018,0.3924,0.0005,0.0018,0.7801,0.0005,0.0017,1,still,11611553
0.4929,0.0005,0.0018,0.3926,0.0005,0.0018,0.7804,0.0007,0.0024,1,still,11611553
0.4927,0.0006,0.0021,0.3923,0.0006,0.0021,0.7804,0.0008,0.0024,1,still,11611553
0.4925,0.0004,0.0014,0.3921,0.0005,0.0018,0.7805,0.0007,0.0022,1,still,11611553
0.4925,0.0004,0.0014,0.3922,0.0005,0.0018,0.7809,0.0007,0.0023,1,still,11611553
0.4924,0.0005,0.0021,0.3919,0.0007,0.0033,0.7806,0.0010,0.0045,1,still,11611553
0.4917,0.0022,0.0102,0.3898,0.0042,0.0138,0.7780,0.0048,0.0164,1,still,11611553
0.4962,0.0090,0.0306,0.3919,0.0066,0.0247,0.7781,0.0050,0.0165,1,still,11611553
0.4989,0.0108,0.0330,0.3973,0.0120,0.0430,0.7784,0.0053,0.0197,1,still,11611553
0.4948,0.0150,0.0478,0.3970,0.0125,0.0430,0.7778,0.0052,0.0197,1,still,11611553
0.4956,0.0153,0.0478,0.4009,0.0108,0.0410,0.7832,0.0061,0.0211,1,still,11611553
0.4834,0.0188,0.0670,0.3979,0.0143,0.0542,0.7849,0.0066,0.0211,1,still,11611553
0.4725,0.0156,0.0517,0.3848,0.0173,0.0564,0.7907,0.0106,0.0326,1,still,11611553
0.4685,0.0162,0.0517,0.3738,0.0237,0.0759,0.8003,0.0124,0.0489,1,still,11611553
0.4576,0.0082,0.0378,0.3679,0.0187,0.0756,0.8083,0.0144,0.0489,1,still,11611553
0.4522,0.0096,0.0369,0.3647,0.0148,0.0527,0.8177,0.0089,0.0286,1,still,11611553
0.4476,0.0098,0.0341,0.3598,0.0181,0.0527,0.8235,0.0069,0.0256,1,still,11611553
0.4421,0.0083,0.0258,0.3564,0.0209,0.0650,0.8264,0.0048,0.0161,1,still,11611553
0.4357,0.0101,0.0281,0.3436,0.0213,0.0666,0.8339,0.0130,0.0485,1,still,11611553
0.4314,0.0100,0.0272,0.3317,0.0089,0.0286,0.8395,0.0133,0.0485,1,still,11611553
0.4253,0.0089,0.0342,0.3279,0.0068,0.0273,0.8456,0.0123,0.0434,1,still,11611553
0.4182,0.0058,0.0179,0.3235,0.0058,0.0219,0.8534,0.0076,0.0258,1,still,11611553
0.4135,0.0074,0.0258,0.3175,0.0131,0.0465,0.8545,0.0069,0.0216,1,still,11611553
0.4100,0.0050,0.0199,0.3092,0.0141,0.0441,0.8582,0.0051,0.0212,1,still,11611553
0.4080,0.0030,0.0118,0.3052,0.0108,0.0326,0.8629,0.0064,0.0249,1,still,11611553
0.4064,0.0039,0.0131,0.3034,0.0095,0.0301,0.8649,0.0064,0.0249,1,still,11611553
0.4049,0.0050,0.0151,0.3034,0.0080,0.0255,0.8670,0.0053,0.0208,1,still,11611553
0.4006,0.0071,0.0239,0.3049,0.0080,0.0315,0.8708,0.0064,0.0231,1,still,11611553
0.3943,0.0083,0.0301,0.2957,0.0147,0.0465,0.8724,0.0078,0.0269,1,still,11611553
0.3871,0.0095,0.0323,0.2867,0.0150,0.0480,0.8779,0.0098,0.0321,1,still,11611553
0.3799,0.0090,0.0317,0.2762,0.0167,0.0545,0.8836,0.0083,0.0302,1,still,11611553
0.3732,0.0080,0.0275,0.2679,0.0085,0.0256,0.8876,0.0087,0.0363,1,still,11611553
0.3663,0.0086,0.0340,0.2675,0.0092,0.0256,0.8928,0.0075,0.0374,1,still,11611553
0.3633,0.0081,0.0303,0.2650,0.0086,0.0276,0.8905,0.0094,0.0414,1,still,11611553
0.3645,0.0106,0.0486,0.2674,0.0084,0.0286,0.8845,0.0151,0.0640,1,still,11611553
0.3752,0.0248,0.0941,0.2688,0.0090,0.0291,0.8821,0.0143,0.0640,1,still,11611553
0.3921,0.0290,0.0868,0.2730,0.0127,0.0472,0.8759,0.0106,0.0466,1,still,11611553
