meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
1.1894,0.3019,1.1437,-0.1344,0.136,0.4421,-0.3276,0.1459,-0.5281,-41.1214,38.0607,-110.6567,-281.7179,96.607,-316.7114,-66.7358,58.2025,-156.25,right,11804106
1.1632,0.2941,1.0156,-0.0086,0.1584,0.4878,-0.1857,0.1406,-0.5298,14.1805,78.8357,-252.7466,-274.2676,68.2764,-227.6001,-58.1217,42.3229,-126.9531,right,11804106
0.7137,0.4966,1.4019,-0.0403,0.0889,0.342,-0.4692,0.3678,-1.0437,17.867,39.1096,-142.334,-207.9061,108.9683,-282.959,-42.4113,18.6429,-58.5327,right,11804106
1.0967,0.3437,1.2021,-0.3028,0.222,0.7652,-0.1937,0.2098,-0.7628,7.1615,30.0198,-93.0176,-278.6865,72.9075,-272.9492,25.7812,48.6092,-161.5601,right,11804106
1.0839,0.5008,1.6259,-0.1717,0.1373,0.4155,-0.3017,0.2437,-0.9288,-18.9331,156.089,-500.3052,-286.5885,93.4957,-279.6631,-33.4757,45.2686,-127.1973,right,11804106
1.0171,0.4555,1.3312,-0.2842,0.1649,0.5755,-0.2813,0.1622,-0.4885,38.741,39.7735,-136.9629,-245.2515,65.4314,-208.0078,49.6338,33.6506,-110.0464,right,11804106
1.0366,0.3941,1.2436,-0.2802,0.1849,0.5503,-0.2244,0.1833,-0.6099,35.0342,34.1798,-126.77,-249.1252,45.4404,-138.7329,32.666,35.0162,-118.7744,right,11804106
1.0076,0.3738,1.1944,-0.2911,0.1249,0.425,-0.2713,0.1744,-0.5531,8.7687,26.4751,-93.3838,-252.9622,45.0605,-159.9121,51.5137,21.6904,-60.9741,right,11804106
0.8416,0.3877,1.0913,-0.2379,0.1434,0.5048,-0.3928,0.2641,-0.9066,6.3273,45.7503,-157.959,-218.8232,66.3262,-218.1396,41.7277,18.2144,-62.0117,right,11804106
0.9977,0.3184,1.0389,-0.1515,0.1124,0.3953,-0.3433,0.2217,-0.7486,39.0788,24.0459,-90.4541,-246.3216,49.6917,-141.7847,34.0169,21.7288,-69.7021,right,11804106
1.011,0.3963,1.2698,-0.2891,0.1423,0.5408,-0.3221,0.148,-0.6061,-13.9567,25.9179,-96.0083,-252.9785,48.2411,-172.5464,60.7747,51.8042,-159.9121,right,11804106
