meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.9112,0.2754,0.9438,0.0845,0.0943,0.3096,-0.1878,0.2151,0.6522,47.8963,39.8230,106.6895,-228.4139,209.1780,564.6362,48.7020,62.7412,159.9121,right,11611553
0.8591,0.2567,0.8648,0.1850,0.1059,0.3609,-0.2977,0.1785,0.6030,55.7129,47.7117,142.5171,-210.6567,180.1703,511.3525,53.6580,58.9702,170.5322,right,11611553
1.0066,0.2474,1.1021,0.2102,0.0668,0.2594,0.0320,0.2349,0.9039,26.5666,24.9005,84.5337,-197.1720,242.8038,597.7173,67.2323,81.8616,210.0830,left,11611553
0.8129,0.2048,0.8327,-0.0257,0.0766,0.2804,-0.6562,0.0898,0.3071,42.3706,39.6421,110.1074,-156.2378,148.8270,397.7051,49.8454,47.5014,139.0381,left,11611553
0.9117,0.1904,0.6938,0.0343,0.1244,0.3839,-0.4552,0.1582,0.5074,54.2725,32.4653,93.4448,-203.7801,142.7673,405.2734,74.0641,45.1621,127.9297,left,11611553
0.8552,0.1815,0.7258,0.0232,0.0736,0.2527,-0.6179,0.1305,0.3934,41.8945,49.1111,117.9810,-133.3984,181.5341,495.6665,65.1204,75.6419,201.0498,left,11611553
0.9816,0.1500,0.6162,0.0630,0.0940,0.3480,-0.4698,0.0985,0.3168,45.3044,46.0758,143.0664,-166.0685,183.8323,491.3330,83.3903,80.0567,216.4917,left,11611553
0.9261,0.1581,0.6509,0.0417,0.0643,0.2271,-0.5477,0.0986,0.3285,49.8576,41.6977,128.3569,-160.6812,186.3636,517.3340,67.0492,67.9141,209.9609,left,11611553
0.9967,0.1424,0.6130,0.0569,0.0403,0.1370,-0.3212,0.0834,0.2294,26.0173,30.6096,94.7876,-183.5164,209.4468,603.0884,79.0649,89.1088,267.8833,left,11611553
0.9919,0.2423,0.9623,0.0343,0.0719,0.2927,-0.3021,0.0723,0.2740,41.1580,37.6373,115.4785,-227.1403,233.8200,597.9004,102.1077,94.4688,251.9531,left,11611553
0.9617,0.1908,0.7818,0.0244,0.0773,0.2908,-0.4148,0.0801,0.2965,58.8949,44.0933,135.0098,-204.4149,208.0292,548.8892,88.9445,89.4376,255.0049,left,11611553
0.9330,0.2358,0.8702,-0.0236,0.0739,0.2795,-0.3861,0.0749,0.3062,47.2656,28.9573,80.3833,-206.4494,188.4684,479.6753,90.6779,75.4305,195.4346,left,11611553
0.8968,0.1225,0.5306,-0.1975,0.0360,0.1241,-0.6084,0.0636,0.2455,59.9935,22.0859,71.8994,-138.9648,181.8238,525.8179,57.6009,88.0824,253.6011,left,11611553
0.8984,0.1028,0.4289,-0.0688,0.0500,0.1876,-0.6838,0.1155,0.3556,46.2280,25.9950,87.8296,-135.8480,152.9457,472.2900,69.9544,85.6286,275.6958,left,11611553
0.8684,0.1934,0.7247,-0.1119,0.0410,0.1375,-0.6076,0.0685,0.2174,55.6071,27.1966,78.1860,-169.6981,170.0642,449.6460,77.0548,77.3222,210.6323,left,11611553
0.8154,0.1701,0.6871,-0.0983,0.0540,0.2180,-0.6861,0.0851,0.2589,46.2199,20.0086,60.5469,-151.8717,152.1305,423.4619,67.9281,83.4901,231.9336,left,11611553
0.9021,0.2075,0.8604,-0.0139,0.0482,0.1418,-0.5117,0.0468,0.1348,45.7642,25.8328,76.1719,-177.6326,186.7213,518.6157,87.0768,95.1811,268.7378,left,11611553
0.9536,0.2428,0.9761,-0.0403,0.0560,0.1978,-0.4424,0.0976,0.3130,32.6701,27.3667,84.5947,-156.2500,180.2612,460.8765,86.0189,90.9600,238.0371,left,11611553
0.9485,0.1662,0.6988,0.1183,0.2183,0.7305,-0.0959,0.2750,0.8063,80.5379,33.5281,115.2344,-205.1839,241.6637,729.2480,71.6024,92.8199,281.6162,left,11611553
0.9908,0.1791,0.7371,0.0741,0.0656,0.2363,-0.3022,0.0923,0.3525,26.9409,30.4583,91.6138,-190.6128,229.8785,605.6519,90.4460,98.5351,260.4370,left,11611553
0.8987,0.1490,0.6227,-0.1026,0.0631,0.2097,-0.5591,0.0723,0.2599,27.4740,29.1849,100.5249,-165.5640,172.2713,469.4824,80.3263,88.7436,249.6948,left,11611553
0.9721,0.1397,0.5953,-0.0998,0.0581,0.1737,-0.4458,0.0852,0.3108,34.3424,23.0433,77.2705,-183.1055,198.1502,548.1567,108.4229,120.5811,335.0220,left,11611553
0.9365,0.1499,0.5997,-0.0890,0.0955,0.3246,-0.4602,0.0846,0.2324,56.1605,41.4986,115.4175,-182.7840,169.6708,452.6978,91.0441,84.6644,228.3936,left,11611553
0.9430,0.1323,0.5892,-0.0460,0.1013,0.3589,-0.4420,0.0961,0.3426,36.1287,39.6285,134.2163,-160.7788,192.2227,535.0342,68.5425,88.1156,262.3901,left,11611553
0.9651,0.1981,0.8187,0.0080,0.0696,0.2307,-0.3274,0.0950,0.3459,27.8320,34.3784,105.3467,-178.7679,198.9591,526.7944,100.0203,109.0904,293.8232,left,11611553
0.9243,0.1409,0.5645,-0.0545,0.0808,0.2625,-0.4635,0.1062,0.3064,41.1051,34.8237,89.2944,-155.3630,143.3185,385.4980,66.3045,63.2252,178.8940,left,11611553
