meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.8409,0.3016,0.9907,-0.2456,0.1172,0.3970,-0.4462,0.2379,0.7491,-23.8892,47.9277,139.2212,-231.8481,42.1520,148.3154,-16.5975,15.5779,58.9600,right,11804106
0.6705,0.4383,1.1686,-0.1148,0.1237,0.3345,-0.5534,0.2370,0.8332,24.6460,24.0308,89.4165,-198.7101,78.5610,250.5493,13.8713,27.7064,95.3979,right,11804106
0.8008,0.2880,0.8900,-0.4542,0.1431,0.5284,-0.4583,0.2262,0.8181,10.6038,23.5426,91.3086,-212.2030,39.9615,123.9624,35.0464,25.8482,115.6006,right,11804106
1.0418,0.3892,1.3517,-0.3218,0.0596,0.2267,-0.3155,0.1669,0.6155,8.1706,54.5640,197.9980,-274.5850,96.7618,284.8511,58.2845,28.1365,91.6748,right,11804106
0.8889,0.3174,0.9453,-0.2061,0.0470,0.1871,-0.3538,0.1964,0.6565,-6.1076,10.0733,32.4097,-221.3582,53.3871,168.6401,21.4355,18.4898,54.9927,right,11804106
0.7579,0.4826,1.2775,-0.2710,0.0707,0.2662,-0.4400,0.2359,0.7814,-21.8831,26.3496,100.4028,-228.2186,89.9650,241.7603,14.8560,20.2047,66.4062,right,11804106
1.0292,0.3318,1.1537,-0.1923,0.0896,0.2777,-0.3500,0.2017,0.6500,47.4569,42.0898,167.0532,-259.2000,87.5492,295.7153,46.8262,21.7010,80.7495,right,11804106
0.8182,0.4247,1.2180,-0.3703,0.0947,0.3217,-0.3288,0.2087,0.8082,-19.0389,16.7717,68.6035,-221.2850,87.3118,283.3252,68.6483,33.9574,92.7734,right,11804106
0.8863,0.4584,1.2894,-0.2416,0.0804,0.2662,-0.4261,0.1597,0.4645,6.3192,22.4580,62.3779,-243.6890,80.3898,236.3281,49.7884,16.3405,48.5229,right,11804106
0.8423,0.2991,0.9293,-0.4401,0.0737,0.2809,-0.4255,0.2232,0.7333,-34.4442,13.1041,51.5747,-234.0861,36.6580,104.2480,80.1351,18.6659,67.7490,right,11804106
0.8655,0.2561,0.8962,-0.1986,0.0690,0.2588,-0.4191,0.2488,0.7947,14.9536,21.3920,66.1621,-199.4751,32.2768,108.3374,21.6105,9.8167,37.4756,right,11804106
0.9161,0.3152,0.9968,-0.3265,0.1294,0.4306,-0.3040,0.2482,0.7407,-31.2703,16.1197,53.9551,-238.8062,42.2174,156.1279,32.9549,9.2403,28.9917,right,11804106
1.0267,0.4239,1.3573,-0.2391,0.1152,0.4473,-0.3326,0.2884,0.9307,-10.6038,23.4953,73.1201,-267.9891,117.2780,425.9033,24.5850,22.6997,89.2334,right,11804106
0.9745,0.3837,1.0940,-0.2546,0.0577,0.2429,-0.3770,0.1917,0.5854,7.5114,18.3988,68.2373,-263.3667,82.3203,306.0303,32.6701,13.6334,53.1616,right,11804106
0.6985,0.3929,1.0946,-0.1037,0.0517,0.1863,-0.5704,0.2817,0.7943,-4.9154,21.5364,73.3643,-213.6271,76.4562,206.5430,8.8379,20.2835,73.1201,right,11804106
0.6279,0.3953,1.0598,-0.1041,0.0568,0.1880,-0.5980,0.1743,0.5161,-6.8115,24.0921,73.5474,-183.1950,87.4600,247.7417,1.8880,11.7507,48.5229,right,11804106
0.3058,0.1914,0.6714,-0.2899,0.0859,0.3342,-0.6509,0.3517,0.9409,7.6864,11.6638,51.3306,-107.5521,89.6476,282.8979,18.7052,17.1561,61.4624,right,11804106
0.6766,0.3670,1.0901,-0.2102,0.0640,0.2019,-0.5317,0.2551,0.8254,-1.1597,18.3738,62.6221,-212.1663,85.6116,274.9023,18.8802,20.1199,71.4722,right,11804106
0.8809,0.4446,1.2682,-0.2447,0.0578,0.2013,-0.4116,0.1981,0.6722,0.2889,34.4019,135.6812,-270.2718,98.3183,314.2700,23.0306,15.4669,60.9741,right,11804106
0.4785,0.3059,1.1043,-0.2413,0.1775,0.6663,-0.5766,0.4085,1.0973,56.7586,35.8436,114.9292,-141.4469,101.7401,307.4341,11.5845,8.0724,34.4849,right,11804106
1.0119,0.3981,1.2430,-0.1983,0.1020,0.3404,-0.2481,0.2526,0.9520,30.0374,58.6990,184.0820,-282.7352,104.0736,316.2231,22.6888,21.2823,76.0498,right,11804106
1.0599,0.4400,1.3358,-0.2976,0.0921,0.3208,-0.2168,0.2928,1.0051,-18.8761,21.5948,86.5479,-270.3939,147.2735,485.1074,30.6885,14.8536,56.0913,right,11804106
1.0066,0.3708,1.4069,-0.1658,0.0833,0.2775,-0.2495,0.1872,0.5390,-10.3312,42.7354,162.0483,-249.0031,174.4404,439.7583,23.6003,29.6595,82.7637,left,11804106
1.1244,0.2138,0.8303,-0.1427,0.1206,0.3928,-0.2106,0.1577,0.5376,2.6611,38.3140,153.6865,-266.9189,195.7496,531.3110,-21.0246,43.5230,120.6665,left,11804106
