meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.9021,0.2075,0.8604,-0.0139,0.0482,0.1418,-0.5117,0.0468,0.1348,45.7642,25.8328,76.1719,-177.6326,186.7213,518.6157,87.0768,95.1811,268.7378,left,11611553
0.9536,0.2428,0.9761,-0.0403,0.056,0.1978,-0.4424,0.0976,0.313,32.6701,27.3667,84.5947,-156.25,180.2612,460.8765,86.0189,90.96,238.0371,left,11611553
0.9485,0.1662,0.6988,0.1183,0.2183,0.7305,-0.0959,0.275,0.8063,80.5379,33.5281,115.2344,-205.1839,241.6637,729.248,71.6024,92.8199,281.6162,left,11611553
0.9908,0.1791,0.7371,0.0741,0.0656,0.2363,-0.3022,0.0923,0.3525,26.9409,30.4583,91.6138,-190.6128,229.8785,605.6519,90.446,98.5351,260.437,left,11611553
0.8987,0.149,0.6227,-0.1026,0.0631,0.2097,-0.5591,0.0723,0.2599,27.474,29.1849,100.5249,-165.564,172.2713,469.4824,80.3263,88.7436,249.6948,left,11611553
0.9721,0.1397,0.5953,-0.0998,0.0581,0.1737,-0.4458,0.0852,0.3108,34.3424,23.0433,77.2705,-183.1055,198.1502,548.1567,108.4229,120.5811,335.022,left,11611553
0.9365,0.1499,0.5997,-0.089,0.0955,0.3246,-0.4602,0.0846,0.2324,56.1605,41.4986,115.4175,-182.784,169.6708,452.6978,91.0441,84.6644,228.3936,left,11611553
0.943,0.1323,0.5892,-0.046,0.1013,0.3589,-0.442,0.0961,0.3426,36.1287,39.6285,134.2163,-160.7788,192.2227,535.0342,68.5425,88.1156,262.3901,left,11611553
0.9651,0.1981,0.8187,0.008,0.0696,0.2307,-0.3274,0.095,0.3459,27.832,34.3784,105.3467,-178.7679,198.9591,526.7944,100.0203,109.0904,293.8232,left,11611553
0.9243,0.1409,0.5645,-0.0545,0.0808,0.2625,-0.4635,0.1062,0.3064,41.1051,34.8237,89.2944,-155.363,143.3185,385.498,66.3045,63.2252,178.894,left,11611553
0.9657,0.2846,1.0139,-0.1042,0.0635,0.2883,-0.3673,0.0976,0.3099,63.4847,19.8793,55.8472,-196.6187,153.0107,449.7681,90.5843,68.9593,200.1953,left,11611553
0.9378,0.2045,0.8792,-0.1555,0.0738,0.2814,-0.3961,0.0676,0.2439,26.8921,28.0012,90.1489,-169.2505,199.4229,580.6885,96.8302,107.5497,330.3223,left,11611553
0.8407,0.159,0.6806,-0.1475,0.0435,0.1904,-0.5944,0.065,0.2775,36.377,32.869,100.1587,-135.0952,129.625,345.0928,65.4907,63.5909,177.5513,left,11611553
0.7186,0.1547,0.6498,0.3191,0.0486,0.1848,-0.2907,0.1169,0.489,12.7767,23.4818,79.7119,-219.165,224.8997,632.6904,47.2738,40.297,125.3662,up,11611553
0.6331,0.1964,0.7645,0.2327,0.0642,0.2097,-0.2269,0.1842,0.7617,15.2954,28.4939,98.2056,-208.134,240.882,694.6411,42.1427,38.7515,127.3193,up,11611553
0.5743,0.2369,0.7576,0.2478,0.0816,0.269,-0.2607,0.2095,0.8169,23.234,40.3446,129.9438,-184.7087,197.5226,509.8267,52.3641,38.8642,125.4272,up,11611553
0.6946,0.2057,0.6949,0.1878,0.0397,0.1265,-0.3727,0.1431,0.6013,19.3685,11.6564,40.4663,-175.0041,209.685,594.5435,36.0677,30.5298,105.1636,up,11611553
0.609,0.1472,0.5396,0.2572,0.0365,0.1382,-0.3193,0.0989,0.4089,21.6268,23.7397,73.1812,-215.9383,237.9225,684.8145,51.2288,47.5263,130.3711,up,11611553
0.7815,0.1883,0.7435,0.2926,0.0492,0.1954,-0.3094,0.1075,0.4296,20.3125,27.524,82.7637,-191.6138,214.7524,557.4341,42.395,42.1976,114.3188,up,11611553
0.7159,0.1231,0.4258,0.2426,0.0396,0.1373,-0.3764,0.0475,0.1583,17.8874,26.7593,77.8809,-194.9137,211.6622,634.3994,37.4349,31.9897,88.562,up,11611553
0.7873,0.1648,0.6788,0.2442,0.0456,0.1749,-0.4839,0.0689,0.3129,20.1253,26.0623,79.3457,-167.6717,207.9355,530.8228,38.6597,36.1377,100.1587,up,11611553
0.6973,0.1562,0.5688,0.2677,0.0292,0.0963,-0.3821,0.0619,0.2707,12.2599,21.4716,79.3457,-168.571,186.2258,495.1782,35.1807,35.5376,104.4312,up,11611553
0.8023,0.1668,0.6579,0.2295,0.0601,0.197,-0.3943,0.0635,0.2383,24.9756,28.9003,80.8716,-206.2419,217.7961,579.2236,42.5171,34.3956,85.3271,up,11611553
0.7784,0.1646,0.6879,0.2854,0.053,0.1631,-0.3867,0.0587,0.1976,27.7791,31.482,98.938,-189.8112,216.8929,576.9043,54.1707,54.4055,143.0054,up,11611553
0.8718,0.1979,0.8054,0.2361,0.0418,0.1522,-0.4293,0.0763,0.2618,26.0824,27.1883,73.6084,-190.0635,189.2859,510.9253,34.5133,32.629,96.0693,up,11611553
0.6957,0.1762,0.6768,0.2339,0.0814,0.2755,-0.3849,0.089,0.3369,33.6589,32.068,91.4917,-221.1833,209.1689,573.4863,66.2598,41.0808,121.7651,up,11611553
0.5672,0.2136,0.7379,0.245,0.0432,0.1624,-0.2515,0.114,0.4158,27.8035,34.16,127.3193,-204.0568,233.1033,635.437,38.3179,45.1147,151.3672,up,11611553
0.5971,0.1253,0.3979,0.1797,0.0318,0.1179,-0.3165,0.0947,0.3339,16.3167,23.9684,77.9419,-176.4771,193.901,510.8643,55.3223,52.1213,148.3154,up,11611553
0.5896,0.0876,0.3682,0.2361,0.0449,0.1591,-0.3341,0.0964,0.3916,17.2363,29.6544,102.2949,-184.1553,202.1882,588.3789,47.7132,57.9748,160.8887,up,11611553
0.6898,0.1816,0.6379,0.2133,0.0679,0.2443,-0.3837,0.126,0.481,33.7362,36.6618,111.0229,-190.0594,187.6991,465.5151,53.361,50.7663,136.1084,up,11611553
0.6949,0.1569,0.5283,0.2488,0.0546,0.2104,-0.3161,0.106,0.4005,15.5233,24.2988,80.6274,-191.7114,203.2243,551.0864,49.821,48.1009,136.7798,up,11611553
0.5082,0.1304,0.3839,0.2426,0.041,0.1384,-0.4071,0.1131,0.4286,21.7651,19.9234,61.2793,-160.0016,164.2325,497.6807,40.8895,46.9324,145.6909,up,11611553
0.6332,0.2025,0.6187,0.256,0.0586,0.2288,-0.2706,0.0654,0.2303,17.1875,21.7923,66.1621,-184.2896,204.8785,530.0293,49.0967,47.6288,141.3574,up,11611553
0.5878,0.1536,0.5635,0.278,0.0481,0.1658,-0.3822,0.0809,0.3771,28.4302,27.3254,75.8667,-184.7127,204.5045,545.5322,47.9167,52.2128,136.9629,up,11611553
0.6438,0.1971,0.6226,0.2519,0.1313,0.3364,-0.2401,0.0368,0.1274,2.533,4.2685,14.7705,-70.6584,51.0316,151.1841,1.4903,5.7847,20.2637,down,11611553
0.8416,0.2755,0.7349,-0.0268,0.0737,0.1979,-0.2485,0.1826,0.4911,100.0977,21.4548,62.6221,-504.9194,143.7282,382.5073,109.9976,44.4198,114.624,down,11611553
